"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","C"
317.69601,72.96405,10123.749,20.86091,0.76987,6.95527,51.26486,54.17935,231.3225,11.18842,290.20296,19942.518,57.71319,24.70262,133.62678,64942.524,26.58239,859.1466,16.93722,60.13667,-4.0323,24.73222,4981.4481,283.11528,32.93729,-7.02648,11624.361,117.37245,10.41086,-2.30434,628.78734,79.05813,63.21332,25200.801,3.84604,21.46721,-19.70385,-227.1066,91.45122,6.04328,10979.97,-526.14915,66.23979,336.90906,0,11.8326,23.07519,315.42936,131.48778,16.87637,"1"
344.29551,59.43163,8684.685,20.37674,0.17358,12.49976,52.7703,56.37404,226.21167,11.53128,287.34498,25190.382,38.85749,6.55058,137.14026,75563.97,37.66061,318.12795,17.61887,19.03503,56.17124,22.47923,4722.291,343.22256,33.0038,21.79669,12069.549,120.39051,12.15221,-4.09576,540.753,82.58541,26.68527,17057.007,3.75791,20.25012,16.40965,-301.53897,111.1935,4.55499,12405.51,-1216.7184,-18.1312,245.28258,0,8.24736,14.08021,169.40397,151.2549,17.57754,"0"
292.97055,39.2926,9267.183,16.40027,1.54535,11.08878,60.85476,56.37749,244.28346,10.22987,317.13228,22729.773,24.85118,28.44235,142.33458,90809.52,53.0521,261.97368,18.38967,68.8313,-37.38641,20.39868,9685.047,280.21659,32.89858,-59.0896,498.60504,99.95754,7.49927,3.56731,514.24596,104.12238,34.26706,11265.699,9.07592,27.42909,33.77819,-242.32317,85.46616,6.65281,10321.71,-1091.1867,45.27877,518.58123,0.46361,11.11645,3.96888,118.89045,-12.49376,17.35847,"1"
412.27638,160.31391,9446.652,22.27534,0.44902,7.31372,42.05992,54.83851,240.75894,11.67114,295.23444,26867.772,19.30006,42.82306,99.77124,33722.715,12.7087,1316.8167,14.36877,49.24661,-160.94457,13.91972,2231.7843,188.37138,28.50997,-160.98873,10020.111,110.75673,12.52481,-22.81858,647.6823,53.73044,140.22111,16062.234,4.5787,20.82227,6.25859,-133.75236,89.11281,6.71378,12797.706,-2734.8495,-9.20881,456.95388,0,15.43275,-70.60563,278.80347,325.35087,10.74489,"0"
267.47574,61.49839,1427.058,18.63352,0.20384,27.35995,61.31885,60.85669,209.57163,13.36523,273.55533,8015.385,61.5489,6.90124,173.75718,75236.91,37.65889,866.5503,16.40917,68.29434,67.7106,26.39733,5814.1401,239.83503,33.78143,25.85658,398.32872,108.55908,11.89429,4.70813,507.19692,90.03879,20.43235,27823.146,6.21068,22.28631,-21.13594,-291.15654,93.79377,6.96769,9850.509,-1137.5271,75.16032,260.28042,0,11.864,33.80469,128.62497,72.44724,16.78266,"0"
273.45937,62.42554,12470.87252,18.06228,0.77214,NA,81.06709,54.47991,226.10003,12.34857,310.75928,26000.01301,35.10777,14.49974,116.51404,56239.6109,31.43697,488.06134,19.54104,89.3626,42.81425,20.29279,4794.4471,385.41471,28.45061,26.70331,514.07437,110.5965,10.22714,14.73062,495.19231,126.90854,20.1686,8874.41442,3.12903,25.60387,-0.96527,-258.90169,81.70496,6.23014,10858.09882,-656.80146,50.71044,345.52566,0.32879,6.64348,20.21403,167.48536,69.11576,21.57106,"1"
399.6549,83.11671,3056.7966,21.32493,0.50091,13.41622,50.04225,57.04347,234.83322,11.6345,285.27705,2545.5894,6.08995,22.03294,165.15081,61105.917,20.45615,880.7298,16.90562,42.75047,-90.8316,24.294,7626.639,144.28107,33.07046,-16.92329,13543.113,120.68238,12.28711,-7.79817,612.74622,57.78798,46.81636,28808.259,1.18343,9.76502,-25.70761,-221.42169,91.23663,8.70076,10426.728,-2278.8354,26.43963,424.27134,0,21.00312,-17.09213,190.52418,92.51451,20.28034,"0"
332.59311,117.87408,10061.442,20.75465,1.30189,6.56053,33.40973,54.48005,235.88823,11.46614,283.85289,25309.407,58.03811,22.69886,120.52368,45075.699,17.5781,883.7658,16.66412,61.23929,18.02066,22.1321,2483.8551,241.72287,32.95944,-45.86195,10100.358,110.31306,11.29861,-10.56459,569.01333,76.96743,54.74074,24787.353,4.95028,23.90498,21.96822,-224.64951,85.27503,6.52441,9896.601,-1061.3097,75.20517,381.08079,0.13019,11.59283,8.10791,213.93105,75.08166,16.44387,"0"
356.67925,132.91437,8169.74663,19.59881,-0.49327,12.49676,32.80821,55.38661,244.65144,11.68231,280.51474,17381.15183,-45.77627,21.51363,115.77249,46265.92544,14.54538,769.93388,14.93699,33.73796,-76.32646,18.08293,3749.24614,124.6694,28.28952,-147.90629,10172.3519,99.63452,12.1686,-66.50772,699.37807,38.25821,67.74558,22985.39572,5.37287,16.53458,NA,-196.64287,74.24023,10.13177,9670.04697,-3822.48465,42.96804,487.32111,0.00112,18.69164,-17.18663,196.9805,104.22692,14.31688,"1"
282.67092,57.28794,2234.2131,15.91699,0.62349,22.31688,86.54187,61.56629,222.24141,12.95047,297.23475,4930.9815,45.22929,4.71317,176.42265,69863.19,42.25622,1628.1516,17.35391,73.80861,96.56481,19.744,5456.6649,242.0658,33.37013,4.84894,1423.9875,91.54782,7.70799,11.37907,305.30982,91.37394,36.96178,31734.756,5.79689,17.22833,44.77541,-254.55963,85.46064,5.62926,10669.263,3254.0676,26.32405,232.6059,0,9.22544,-11.97778,118.05141,51.61097,19.64616,"1"
