"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","C"
"2",449.31006,462.88719,1336.392,18.58632,0,6.68945,78.67518,48.38066,279.81846,8.3254,329.41428,10118.229,55.62766,39.80934,95.15376,15985.782,4.27151,434.55648,19.52196,129.05139,-149.91768,15.14633,2480.4051,116.78802,34.12381,-272.19258,4712.9139,113.49741,8.86505,-110.03499,674.4543,44.43959,222.03303,30782.625,6.7182,21.64578,12.692,-60.60256,39.67604,15.94169,6930.222,-3381.6624,160.8873,911.4417,0.405172000010324,23.35195,-47.08098,214.28433,-23.48208,11.91182,"0"
"3",338.36514,114.61964,8569.3276,12.68633,1.49662,9.73201,84.96591,60.27255,233.32698,10.57056,314.06039,10930.68431,31.63738,48.66554,169.62383,57551.55452,20.76834,1182.451,15.79509,83.16696,-167.18141,21.71627,4949.66014,174.37059,30.12851,-130.93311,6898.23478,112.72539,11.21806,-29.91607,489.69457090681,50.63509,125.45153,31219.72887,7.28399,21.189,-5.14208,-123.70124,84.71056,8.99144,9026.46685,-3020.76434,62.15407,519.69268,0.622761482796463,17.26532,-37.35366,158.80865,73.3024,11.14842,"0"
"5",292.83393,100.54887,13984.575,24.02387,0.41317,0.66362,94.73769,62.35841,254.47821,11.04849,289.14795,365.70345,20.76044,6.3823,170.154,49855.122,30.99266,6051.1068,29.95511,30.59322,70.26063,24.99698,1586.3307,424.04019,20.45429,154.38474,8195.613,94.12014,12.53771,-67.13472,339.93195,64.91334,49.10972,30690.717,5.98271,17.59817,114.8643,-224.28105,72.1602,2.3258,6131.8782,-1152.8796,64.38963,384.67362,0,4.57674,41.41753,88.75677,76.53342,22.05937,"0"
"6",344.29551,59.43163,8684.685,20.37674,0.17358,12.49976,52.7703,56.37404,226.21167,11.53128,287.34498,25190.382,38.85749,6.55058,137.14026,75563.97,37.66061,318.12795,17.61887,19.03503,56.17124,22.47923,4722.291,343.22256,33.0038,21.79669,12069.549,120.39051,12.15221,-4.09576,540.753,82.58541,26.68527,17057.007,3.75791,20.25012,16.40965,-301.53897,111.1935,4.55499,12405.51,-1216.7184,-18.1312,245.28258,0,8.24736,14.08021,169.40397,151.2549,17.57754,"0"
"7",332.39097,125.88975,12057.45804,17.12238,0.19382,-0.24681,89.65064,60.90272,263.04358,19.0037,298.81464,445.72639,69.7807198756564,2.22214,146.87252,38026.45542,19.96631,1988.17431,29.70001,52.95989,70.68894,21.93597,2380.12129,467.23982,33.53424,124.01691,3247.0309,103.34223,9.36834,-65.82969,406.79202,72.8699,31.31937,29034.09545,8.27916,19.67779,39.66104,-212.06772,61.8792,3.51641,5601.79542,-852.71204,107.63316,342.82374,0.13419,4.85322,38.56827,67.5435,274.65784,17.39869,"0"
"8",292.97055,39.2926,9267.183,16.40027,1.54535,11.08878,60.85476,56.37749,244.28346,10.22987,317.13228,22729.773,24.85118,28.44235,142.33458,90809.52,53.0521,261.97368,18.38967,68.8313,-37.38641,20.39868,9685.047,280.21659,32.89858,-59.0896,498.60504,99.95754,7.49927,3.56731,514.24596,104.12238,34.26706,11265.699,9.07592,27.42909,33.77819,-242.32317,85.46616,6.65281,10321.71,-1091.1867,45.27877,518.58123,0.46361,11.11645,3.96888,118.89045,-12.49376,17.35847,"1"
"9",418.56366,158.25081,9015.057,25.17789,0,4.60703,43.96521,46.66608,249.21282,9.13657,300.44118,22693.341,-15.79962,8.19078,95.49462,31895.25,8.16353,2595.8697,16.15925,28.24198,6.32796,20.68385,2897.0892,138.57753,21.70547,-15.32649,8189.679,123.31749,13.83402,-37.4383,835.6797,25.88004,150.64287,13495.434,3.09707,15.88856,-31.59144,-119.92476,65.44484,8.19968,11794.101,-3699.7386,-2.19684,243.30504,0,19.78982,13.44686,598.25553,258.3222,15.16013,"0"
"10",412.27638,160.31391,9446.652,22.27534,0.44902,7.31372,42.05992,54.83851,240.75894,11.67114,295.23444,26867.772,19.30006,42.82306,99.77124,33722.715,12.7087,1316.8167,14.36877,49.24661,-160.94457,13.91972,2231.7843,188.37138,28.50997,-160.98873,10020.111,110.75673,12.52481,-22.81858,647.6823,53.73044,140.22111,16062.234,4.5787,20.82227,6.25859,-133.75236,89.11281,6.71378,12797.706,-2734.8495,-9.20881,456.95388,0,15.43275,-70.60563,278.80347,325.35087,10.74489,"0"
"13",273.45937,62.42554,12470.87252,18.06228,0.77214,1.9679203196275,81.06709,54.47991,226.10003,12.34857,310.75928,26000.01301,35.10777,14.49974,116.51404,56239.6109,31.43697,488.06134,19.54104,89.3626,42.81425,20.29279,4794.4471,385.41471,28.45061,26.70331,514.07437,110.5965,10.22714,14.73062,495.19231,126.90854,20.1686,8874.41442,3.12903,25.60387,-0.96527,-258.90169,81.70496,6.23014,10858.09882,-656.80146,50.71044,345.52566,0.32879,6.64348,20.21403,167.48536,69.11576,21.57106,"1"
"14",399.6549,83.11671,3056.7966,21.32493,0.50091,13.41622,50.04225,57.04347,234.83322,11.6345,285.27705,2545.5894,6.08995,22.03294,165.15081,61105.917,20.45615,880.7298,16.90562,42.75047,-90.8316,24.294,7626.639,144.28107,33.07046,-16.92329,13543.113,120.68238,12.28711,-7.79817,612.74622,57.78798,46.81636,28808.259,1.18343,9.76502,-25.70761,-221.42169,91.23663,8.70076,10426.728,-2278.8354,26.43963,424.27134,0,21.00312,-17.09213,190.52418,92.51451,20.28034,"0"
